unit_id,blood_type,collected_at,expires_at,status,hospital_request_id,handed_over_at,disposed_at,created_at
26,O+,2016-06-20 08:02:00,2016-08-01 08:02:00,handed_over,6252.0,2016-06-21 08:02:00,,2016-06-20 08:02:00
27,A+,2018-11-15 20:29:00,2018-12-27 20:29:00,available,,,,2018-11-15 20:29:00
28,B+,2017-04-20 03:25:00,2017-06-01 03:25:00,handed_over,2861.0,2017-04-26 03:25:00,,2017-04-20 03:25:00
29,B-,2016-02-03 07:09:00,2016-03-16 07:09:00,available,,,,2016-02-03 05:09:00
30,A+,2018-03-26 22:42:00,2018-05-07 22:42:00,available,,,,2018-03-26 20:42:00
31,AB+,2018-01-23 21:13:00,2018-03-06 21:13:00,handed_over,4852.0,2018-01-30 21:13:00,,2018-01-23 21:13:00
32,A+,2024-11-13 22:14:00,2024-12-25 22:14:00,handed_over,6469.0,2024-11-14 22:14:00,,2024-11-13 21:14:00
33,A+,2016-03-21 20:17:00,2016-05-02 20:17:00,disposed,,,2016-04-29 20:17:00,2016-03-21 18:17:00
34,O+,2018-05-19 22:45:00,2018-06-30 22:45:00,available,,,,2018-05-19 21:45:00
35,O-,2017-08-21 02:38:00,2017-10-02 02:38:00,disposed,,,2017-09-30 02:38:00,2017-08-21 01:38:00
36,O+,2021-04-18 20:23:00,2021-05-30 20:23:00,handed_over,3420.0,2021-04-19 20:23:00,,2021-04-18 18:23:00
37,B+,2017-12-04 15:15:00,2018-01-15 15:15:00,disposed,,,2018-01-15 15:15:00,2017-12-04 14:15:00
38,A+,2025-05-24 06:05:00,2025-07-05 06:05:00,disposed,,,2025-07-04 06:05:00,2025-05-24 04:05:00
39,AB+,2017-12-06 21:12:00,2018-01-17 21:12:00,available,,,,2017-12-06 19:12:00
40,B+,2017-09-11 14:58:00,2017-10-23 14:58:00,available,,,,2017-09-11 13:58:00
41,A+,2018-02-15 01:16:00,2018-03-29 01:16:00,handed_over,7666.0,2018-02-22 01:16:00,,2018-02-15 00:16:00
42,B+,2020-02-07 04:42:00,2020-03-20 04:42:00,available,,,,2020-02-07 04:42:00
43,A+,2021-02-20 18:23:00,2021-04-03 18:23:00,disposed,,,2021-04-03 18:23:00,2021-02-20 16:23:00
44,O+,2022-05-26 15:11:00,2022-07-07 15:11:00,available,,,,2022-05-26 14:11:00
45,A-,2022-01-07 14:32:00,2022-02-18 14:32:00,disposed,,,2022-02-16 14:32:00,2022-01-07 12:32:00
46,AB+,2019-11-01 12:22:00,2019-12-13 12:22:00,available,,,,2019-11-01 12:22:00
47,B+,2019-10-13 12:49:00,2019-11-24 12:49:00,available,,,,2019-10-13 12:49:00
48,B+,2025-01-11 00:46:00,2025-02-22 00:46:00,disposed,,,2025-02-21 00:46:00,2025-01-11 00:46:00
49,B+,2018-04-05 12:04:00,2018-05-17 12:04:00,available,,,,2018-04-05 12:04:00
50,A+,2017-01-11 12:53:00,2017-02-22 12:53:00,available,,,,2017-01-11 12:53:00
51,O-,2024-06-03 18:20:00,2024-07-15 18:20:00,available,,,,2024-06-03 18:20:00
52,O+,2017-10-01 17:20:00,2017-11-12 17:20:00,disposed,,,2017-11-09 17:20:00,2017-10-01 17:20:00
53,O+,2023-11-09 09:23:00,2023-12-21 09:23:00,handed_over,8741.0,2023-11-15 09:23:00,,2023-11-09 09:23:00
54,O+,2022-08-04 14:20:00,2022-09-15 14:20:00,disposed,,,2022-09-13 14:20:00,2022-08-04 12:20:00
55,B-,2021-07-01 19:59:00,2021-08-12 19:59:00,handed_over,6566.0,2021-07-08 19:59:00,,2021-07-01 18:59:00
56,O+,2024-07-25 22:21:00,2024-09-05 22:21:00,available,,,,2024-07-25 20:21:00
57,A+,2022-11-04 01:55:00,2022-12-16 01:55:00,available,,,,2022-11-03 23:55:00
58,A+,2017-08-04 02:38:00,2017-09-15 02:38:00,available,,,,2017-08-04 01:38:00
59,A+,2020-08-13 05:15:00,2020-09-24 05:15:00,handed_over,6089.0,2020-08-21 05:15:00,,2020-08-13 04:15:00
60,B+,2023-01-05 23:16:00,2023-02-16 23:16:00,handed_over,2288.0,2023-01-13 23:16:00,,2023-01-05 23:16:00
61,B+,2022-08-09 00:05:00,2022-09-20 00:05:00,available,,,,2022-08-08 23:05:00
62,A-,2023-03-13 12:59:00,2023-04-24 12:59:00,available,,,,2023-03-13 10:59:00
63,O+,2016-09-03 17:28:00,2016-10-15 17:28:00,available,,,,2016-09-03 17:28:00
64,B+,2025-02-21 06:46:00,2025-04-04 06:46:00,available,,,,2025-02-21 04:46:00
65,A-,2024-03-29 15:00:00,2024-05-10 15:00:00,available,,,,2024-03-29 14:00:00
66,B+,2021-01-13 23:43:00,2021-02-24 23:43:00,available,,,,2021-01-13 21:43:00
67,A+,2017-02-06 07:54:00,2017-03-20 07:54:00,available,,,,2017-02-06 05:54:00
68,O+,2025-03-28 01:29:00,2025-05-09 01:29:00,disposed,,,2025-05-05 01:29:00,2025-03-28 01:29:00
69,A+,2022-11-30 16:38:00,2023-01-11 16:38:00,available,,,,2022-11-30 16:38:00
70,O-,2021-05-18 00:37:00,2021-06-29 00:37:00,disposed,,,2021-06-25 00:37:00,2021-05-17 22:37:00
71,O+,2016-07-23 10:09:00,2016-09-03 10:09:00,handed_over,3798.0,2016-08-01 10:09:00,,2016-07-23 09:09:00
72,A+,2019-10-23 23:54:00,2019-12-04 23:54:00,handed_over,1234.0,2019-11-01 23:54:00,,2019-10-23 23:54:00
73,A+,2023-07-31 16:03:00,2023-09-11 16:03:00,available,,,,2023-07-31 14:03:00
74,O+,2016-05-12 22:45:00,2016-06-23 22:45:00,handed_over,2324.0,2016-05-19 22:45:00,,2016-05-12 22:45:00
75,AB-,2022-06-13 09:45:00,2022-07-25 09:45:00,available,,,,2022-06-13 09:45:00
76,AB-,2022-09-25 00:42:00,2022-11-06 00:42:00,available,,,,2022-09-24 23:42:00
77,O+,2019-03-23 22:49:00,2019-05-04 22:49:00,disposed,,,2019-05-04 22:49:00,2019-03-23 20:49:00
78,A+,2019-08-20 17:39:00,2019-10-01 17:39:00,handed_over,3195.0,2019-08-29 17:39:00,,2019-08-20 15:39:00
79,B+,2024-07-28 09:57:00,2024-09-08 09:57:00,available,,,,2024-07-28 07:57:00
80,A+,2023-12-31 04:09:00,2024-02-11 04:09:00,handed_over,4420.0,2024-01-06 04:09:00,,2023-12-31 02:09:00
81,O+,2022-08-14 20:23:00,2022-09-25 20:23:00,available,,,,2022-08-14 18:23:00
82,AB+,2019-01-30 02:39:00,2019-03-13 02:39:00,handed_over,4221.0,2019-02-08 02:39:00,,2019-01-30 02:39:00
83,B+,2023-04-08 08:36:00,2023-05-20 08:36:00,handed_over,1947.0,2023-04-10 08:36:00,,2023-04-08 08:36:00
84,A+,2024-10-01 01:01:00,2024-11-12 01:01:00,available,,,,2024-10-01 01:01:00
85,B+,2024-05-04 16:41:00,2024-06-15 16:41:00,available,,,,2024-05-04 16:41:00
86,B+,2022-04-02 01:41:00,2022-05-14 01:41:00,handed_over,9917.0,2022-04-04 01:41:00,,2022-04-02 00:41:00
87,AB-,2023-10-06 00:03:00,2023-11-17 00:03:00,handed_over,4669.0,2023-10-12 00:03:00,,2023-10-05 23:03:00
88,AB+,2019-04-11 11:10:00,2019-05-23 11:10:00,handed_over,6893.0,2019-04-14 11:10:00,,2019-04-11 09:10:00
89,O+,2020-07-18 09:46:00,2020-08-29 09:46:00,handed_over,1038.0,2020-07-20 09:46:00,,2020-07-18 08:46:00
90,B+,2016-09-17 16:59:00,2016-10-29 16:59:00,handed_over,6265.0,2016-09-25 16:59:00,,2016-09-17 16:59:00
91,A+,2018-03-15 01:08:00,2018-04-26 01:08:00,available,,,,2018-03-15 01:08:00
92,AB-,2025-08-26 17:13:00,2025-10-07 17:13:00,disposed,,,2025-10-03 17:13:00,2025-08-26 17:13:00
93,O+,2016-10-01 13:39:00,2016-11-12 13:39:00,available,,,,2016-10-01 13:39:00
94,B-,2025-02-26 02:28:00,2025-04-09 02:28:00,handed_over,7926.0,2025-03-05 02:28:00,,2025-02-26 02:28:00
95,O+,2018-12-01 16:58:00,2019-01-12 16:58:00,disposed,,,2019-01-11 16:58:00,2018-12-01 14:58:00
96,B+,2024-09-13 07:00:00,2024-10-25 07:00:00,handed_over,9441.0,2024-09-21 07:00:00,,2024-09-13 05:00:00
97,B+,2016-12-30 20:35:00,2017-02-10 20:35:00,handed_over,1156.0,2017-01-05 20:35:00,,2016-12-30 20:35:00
98,B+,2021-07-22 04:23:00,2021-09-02 04:23:00,available,,,,2021-07-22 02:23:00
99,A+,2023-01-31 10:16:00,2023-03-14 10:16:00,disposed,,,2023-03-10 10:16:00,2023-01-31 09:16:00
100,A+,2022-03-26 19:02:00,2022-05-07 19:02:00,available,,,,2022-03-26 18:02:00
101,A+,2025-07-24 14:50:00,2025-09-04 14:50:00,handed_over,7203.0,2025-08-02 14:50:00,,2025-07-24 14:50:00
102,AB+,2022-10-15 07:12:00,2022-11-26 07:12:00,available,,,,2022-10-15 05:12:00
103,B+,2023-01-06 00:08:00,2023-02-17 00:08:00,available,,,,2023-01-06 00:08:00
104,B+,2019-12-09 08:53:00,2020-01-20 08:53:00,available,,,,2019-12-09 06:53:00
105,O+,2017-10-27 16:55:00,2017-12-08 16:55:00,available,,,,2017-10-27 16:55:00
106,A+,2018-11-23 08:55:00,2019-01-04 08:55:00,disposed,,,2019-01-01 08:55:00,2018-11-23 08:55:00
107,B+,2017-09-18 12:04:00,2017-10-30 12:04:00,disposed,,,2017-10-29 12:04:00,2017-09-18 12:04:00
108,O+,2021-02-11 00:24:00,2021-03-25 00:24:00,handed_over,2208.0,2021-02-20 00:24:00,,2021-02-10 23:24:00
109,A+,2023-01-03 14:03:00,2023-02-14 14:03:00,available,,,,2023-01-03 12:03:00
110,A+,2018-01-09 19:09:00,2018-02-20 19:09:00,available,,,,2018-01-09 17:09:00
111,A-,2025-03-09 05:26:00,2025-04-20 05:26:00,handed_over,9268.0,2025-03-11 05:26:00,,2025-03-09 04:26:00
112,A+,2016-09-04 11:51:00,2016-10-16 11:51:00,available,,,,2016-09-04 10:51:00
113,O+,2024-11-21 02:45:00,2025-01-02 02:45:00,handed_over,6290.0,2024-11-26 02:45:00,,2024-11-21 00:45:00
114,O+,2017-08-08 14:06:00,2017-09-19 14:06:00,available,,,,2017-08-08 12:06:00
115,AB+,2023-10-22 13:55:00,2023-12-03 13:55:00,handed_over,5761.0,2023-10-31 13:55:00,,2023-10-22 13:55:00
116,O+,2017-12-18 02:48:00,2018-01-29 02:48:00,disposed,,,2018-01-29 02:48:00,2017-12-18 02:48:00
117,O+,2022-12-23 13:49:00,2023-02-03 13:49:00,handed_over,8309.0,2022-12-26 13:49:00,,2022-12-23 11:49:00
118,A+,2025-12-29 21:18:00,2026-02-09 21:18:00,disposed,,,2026-02-09 21:18:00,2025-12-29 19:18:00
119,O+,2023-08-18 11:53:00,2023-09-29 11:53:00,handed_over,6202.0,2023-08-23 11:53:00,,2023-08-18 11:53:00
120,B+,2019-09-10 09:40:00,2019-10-22 09:40:00,handed_over,8732.0,2019-09-18 09:40:00,,2019-09-10 08:40:00
121,O+,2021-05-06 12:34:00,2021-06-17 12:34:00,handed_over,9635.0,2021-05-08 12:34:00,,2021-05-06 10:34:00
122,O+,2018-08-04 10:47:00,2018-09-15 10:47:00,available,,,,2018-08-04 08:47:00
123,B+,2024-05-03 23:34:00,2024-06-14 23:34:00,disposed,,,2024-06-10 23:34:00,2024-05-03 22:34:00
124,A+,2023-12-08 05:39:00,2024-01-19 05:39:00,handed_over,6007.0,2023-12-14 05:39:00,,2023-12-08 04:39:00
125,A+,2018-08-07 12:43:00,2018-09-18 12:43:00,handed_over,2883.0,2018-08-11 12:43:00,,2018-08-07 11:43:00
126,B+,2020-09-21 09:34:00,2020-11-02 09:34:00,handed_over,9732.0,2020-09-27 09:34:00,,2020-09-21 07:34:00
127,O+,2022-02-21 00:12:00,2022-04-04 00:12:00,available,,,,2022-02-20 22:12:00
128,O+,2018-04-03 03:53:00,2018-05-15 03:53:00,disposed,,,2018-05-11 03:53:00,2018-04-03 01:53:00
129,A+,2018-09-29 18:42:00,2018-11-10 18:42:00,available,,,,2018-09-29 18:42:00
130,B+,2023-09-28 10:05:00,2023-11-09 10:05:00,disposed,,,2023-11-09 10:05:00,2023-09-28 09:05:00
131,B+,2025-02-09 11:26:00,2025-03-23 11:26:00,available,,,,2025-02-09 10:26:00
132,A+,2021-01-06 09:02:00,2021-02-17 09:02:00,available,,,,2021-01-06 09:02:00
133,A+,2024-06-01 19:27:00,2024-07-13 19:27:00,handed_over,2462.0,2024-06-04 19:27:00,,2024-06-01 19:27:00
134,B+,2024-11-21 02:41:00,2025-01-02 02:41:00,disposed,,,2025-01-01 02:41:00,2024-11-21 02:41:00
135,O+,2022-11-24 10:39:00,2023-01-05 10:39:00,disposed,,,2023-01-03 10:39:00,2022-11-24 10:39:00
136,B+,2016-05-13 19:10:00,2016-06-24 19:10:00,disposed,,,2016-06-24 19:10:00,2016-05-13 18:10:00
137,B+,2018-05-13 20:43:00,2018-06-24 20:43:00,available,,,,2018-05-13 20:43:00
138,AB-,2020-11-10 17:12:00,2020-12-22 17:12:00,available,,,,2020-11-10 17:12:00
139,B+,2022-07-17 02:46:00,2022-08-28 02:46:00,handed_over,9906.0,2022-07-23 02:46:00,,2022-07-17 01:46:00
140,O-,2019-05-22 20:45:00,2019-07-03 20:45:00,handed_over,6739.0,2019-05-29 20:45:00,,2019-05-22 19:45:00
141,O-,2023-05-29 13:36:00,2023-07-10 13:36:00,handed_over,1543.0,2023-06-01 13:36:00,,2023-05-29 12:36:00
142,A-,2025-11-06 07:59:00,2025-12-18 07:59:00,handed_over,2539.0,2025-11-11 07:59:00,,2025-11-06 06:59:00
143,B+,2016-10-05 14:59:00,2016-11-16 14:59:00,handed_over,4073.0,2016-10-13 14:59:00,,2016-10-05 12:59:00
144,B+,2022-10-14 18:25:00,2022-11-25 18:25:00,handed_over,1923.0,2022-10-16 18:25:00,,2022-10-14 16:25:00
145,A-,2024-12-27 05:18:00,2025-02-07 05:18:00,disposed,,,2025-02-04 05:18:00,2024-12-27 03:18:00
146,A+,2025-11-19 07:37:00,2025-12-31 07:37:00,disposed,,,2025-12-30 07:37:00,2025-11-19 05:37:00
147,AB+,2022-08-16 22:28:00,2022-09-27 22:28:00,handed_over,6276.0,2022-08-23 22:28:00,,2022-08-16 21:28:00
148,B+,2024-06-13 02:09:00,2024-07-25 02:09:00,handed_over,4272.0,2024-06-14 02:09:00,,2024-06-13 00:09:00
149,A+,2025-09-04 23:15:00,2025-10-16 23:15:00,handed_over,8259.0,2025-09-11 23:15:00,,2025-09-04 23:15:00
150,A-,2018-07-01 18:10:00,2018-08-12 18:10:00,available,,,,2018-07-01 18:10:00
151,O+,2020-09-07 04:04:00,2020-10-19 04:04:00,available,,,,2020-09-07 04:04:00
152,A+,2025-04-14 13:49:00,2025-05-26 13:49:00,available,,,,2025-04-14 11:49:00
153,A+,2021-04-29 07:04:00,2021-06-10 07:04:00,available,,,,2021-04-29 05:04:00
154,B+,2017-01-25 15:54:00,2017-03-08 15:54:00,available,,,,2017-01-25 15:54:00
155,O-,2018-04-25 04:55:00,2018-06-06 04:55:00,disposed,,,2018-06-04 04:55:00,2018-04-25 02:55:00
156,A+,2021-12-19 03:47:00,2022-01-30 03:47:00,handed_over,8182.0,2021-12-20 03:47:00,,2021-12-19 02:47:00
157,AB+,2025-02-01 16:46:00,2025-03-15 16:46:00,available,,,,2025-02-01 14:46:00
158,O+,2025-05-13 03:37:00,2025-06-24 03:37:00,handed_over,8498.0,2025-05-17 03:37:00,,2025-05-13 03:37:00
159,A+,2016-12-22 15:56:00,2017-02-02 15:56:00,handed_over,9685.0,2016-12-26 15:56:00,,2016-12-22 15:56:00
160,AB-,2024-07-16 09:40:00,2024-08-27 09:40:00,available,,,,2024-07-16 07:40:00
161,B+,2016-02-05 13:03:00,2016-03-18 13:03:00,available,,,,2016-02-05 11:03:00
162,AB+,2021-09-22 23:41:00,2021-11-03 23:41:00,disposed,,,2021-11-01 23:41:00,2021-09-22 23:41:00
163,AB+,2025-02-08 03:49:00,2025-03-22 03:49:00,handed_over,1824.0,2025-02-13 03:49:00,,2025-02-08 03:49:00
164,B+,2020-11-07 12:45:00,2020-12-19 12:45:00,handed_over,8859.0,2020-11-09 12:45:00,,2020-11-07 10:45:00
165,A+,2019-07-02 17:32:00,2019-08-13 17:32:00,handed_over,7210.0,2019-07-08 17:32:00,,2019-07-02 15:32:00
166,O+,2025-03-02 15:14:00,2025-04-13 15:14:00,available,,,,2025-03-02 15:14:00
167,B+,2017-05-16 04:05:00,2017-06-27 04:05:00,handed_over,4302.0,2017-05-22 04:05:00,,2017-05-16 04:05:00
168,A+,2020-10-31 02:47:00,2020-12-12 02:47:00,handed_over,2586.0,2020-11-08 02:47:00,,2020-10-31 02:47:00
169,A+,2018-08-29 03:32:00,2018-10-10 03:32:00,handed_over,1858.0,2018-08-30 03:32:00,,2018-08-29 03:32:00
170,B-,2025-11-28 00:30:00,2026-01-09 00:30:00,available,,,,2025-11-28 00:30:00
171,AB+,2016-05-28 07:55:00,2016-07-09 07:55:00,disposed,,,2016-07-08 07:55:00,2016-05-28 07:55:00
172,A+,2019-01-29 01:11:00,2019-03-12 01:11:00,available,,,,2019-01-29 01:11:00
173,B+,2025-03-03 16:06:00,2025-04-14 16:06:00,handed_over,3561.0,2025-03-07 16:06:00,,2025-03-03 14:06:00
174,A+,2020-06-30 03:36:00,2020-08-11 03:36:00,handed_over,1471.0,2020-07-02 03:36:00,,2020-06-30 02:36:00
175,AB+,2022-05-30 10:00:00,2022-07-11 10:00:00,handed_over,9819.0,2022-06-07 10:00:00,,2022-05-30 09:00:00
176,A+,2024-02-16 09:51:00,2024-03-29 09:51:00,handed_over,1596.0,2024-02-20 09:51:00,,2024-02-16 07:51:00
177,AB+,2024-02-15 20:42:00,2024-03-28 20:42:00,available,,,,2024-02-15 19:42:00
178,B+,2018-08-09 16:07:00,2018-09-20 16:07:00,handed_over,7534.0,2018-08-17 16:07:00,,2018-08-09 14:07:00
179,O+,2020-01-06 12:26:00,2020-02-17 12:26:00,available,,,,2020-01-06 10:26:00
180,A+,2018-03-30 17:26:00,2018-05-11 17:26:00,available,,,,2018-03-30 15:26:00
181,B+,2016-09-28 01:04:00,2016-11-09 01:04:00,available,,,,2016-09-27 23:04:00
182,A+,2021-04-06 21:16:00,2021-05-18 21:16:00,handed_over,1805.0,2021-04-08 21:16:00,,2021-04-06 20:16:00
183,O+,2024-04-11 05:50:00,2024-05-23 05:50:00,available,,,,2024-04-11 03:50:00
184,O+,2022-04-29 17:13:00,2022-06-10 17:13:00,available,,,,2022-04-29 17:13:00
185,A-,2019-12-16 07:14:00,2020-01-27 07:14:00,handed_over,4559.0,2019-12-20 07:14:00,,2019-12-16 05:14:00
186,AB+,2022-06-08 15:32:00,2022-07-20 15:32:00,disposed,,,2022-07-20 15:32:00,2022-06-08 14:32:00
187,O+,2025-12-05 04:04:00,2026-01-16 04:04:00,handed_over,9053.0,2025-12-14 04:04:00,,2025-12-05 03:04:00
188,B-,2016-08-08 20:05:00,2016-09-19 20:05:00,disposed,,,2016-09-17 20:05:00,2016-08-08 19:05:00
189,B+,2024-01-24 05:45:00,2024-03-06 05:45:00,handed_over,4366.0,2024-01-29 05:45:00,,2024-01-24 04:45:00
190,A+,2022-10-10 03:55:00,2022-11-21 03:55:00,handed_over,9799.0,2022-10-16 03:55:00,,2022-10-10 03:55:00
191,A+,2021-07-05 08:55:00,2021-08-16 08:55:00,handed_over,3836.0,2021-07-14 08:55:00,,2021-07-05 06:55:00
192,O+,2021-12-18 15:42:00,2022-01-29 15:42:00,available,,,,2021-12-18 15:42:00
193,O+,2020-02-07 03:31:00,2020-03-20 03:31:00,available,,,,2020-02-07 01:31:00
194,AB+,2019-02-26 20:53:00,2019-04-09 20:53:00,available,,,,2019-02-26 18:53:00
195,B+,2016-05-23 18:47:00,2016-07-04 18:47:00,available,,,,2016-05-23 18:47:00
196,B+,2020-01-22 07:54:00,2020-03-04 07:54:00,handed_over,8420.0,2020-01-31 07:54:00,,2020-01-22 07:54:00
197,AB-,2025-02-10 20:57:00,2025-03-24 20:57:00,handed_over,5257.0,2025-02-17 20:57:00,,2025-02-10 19:57:00
198,O+,2023-11-28 11:21:00,2024-01-09 11:21:00,available,,,,2023-11-28 09:21:00
199,O+,2023-09-24 16:41:00,2023-11-05 16:41:00,disposed,,,2023-11-02 16:41:00,2023-09-24 14:41:00
200,O+,2018-07-11 06:18:00,2018-08-22 06:18:00,handed_over,2795.0,2018-07-13 06:18:00,,2018-07-11 04:18:00
201,AB+,2016-01-25 05:20:00,2016-03-07 05:20:00,handed_over,5974.0,2016-02-01 05:20:00,,2016-01-25 03:20:00
202,A+,2020-08-14 23:59:00,2020-09-25 23:59:00,disposed,,,2020-09-24 23:59:00,2020-08-14 21:59:00
203,A+,2018-12-19 18:49:00,2019-01-30 18:49:00,available,,,,2018-12-19 16:49:00
204,O+,2024-01-05 01:13:00,2024-02-16 01:13:00,handed_over,6137.0,2024-01-14 01:13:00,,2024-01-05 00:13:00
205,AB+,2023-02-25 09:31:00,2023-04-08 09:31:00,available,,,,2023-02-25 07:31:00
206,A+,2025-12-01 07:41:00,2026-01-12 07:41:00,handed_over,9370.0,2025-12-03 07:41:00,,2025-12-01 06:41:00
207,A+,2021-03-17 07:12:00,2021-04-28 07:12:00,disposed,,,2021-04-24 07:12:00,2021-03-17 05:12:00
208,AB+,2024-12-19 07:14:00,2025-01-30 07:14:00,handed_over,3702.0,2024-12-26 07:14:00,,2024-12-19 05:14:00
209,A+,2022-05-18 11:42:00,2022-06-29 11:42:00,available,,,,2022-05-18 11:42:00
210,A+,2024-03-13 13:26:00,2024-04-24 13:26:00,available,,,,2024-03-13 11:26:00
211,B+,2024-12-25 12:35:00,2025-02-05 12:35:00,available,,,,2024-12-25 12:35:00
212,AB+,2018-04-10 16:50:00,2018-05-22 16:50:00,handed_over,7867.0,2018-04-17 16:50:00,,2018-04-10 16:50:00
213,AB+,2019-03-24 08:54:00,2019-05-05 08:54:00,available,,,,2019-03-24 08:54:00
214,A+,2024-04-21 06:51:00,2024-06-02 06:51:00,available,,,,2024-04-21 05:51:00
215,AB-,2025-10-30 07:15:00,2025-12-11 07:15:00,handed_over,6307.0,2025-11-02 07:15:00,,2025-10-30 07:15:00
216,A+,2016-03-07 12:09:00,2016-04-18 12:09:00,available,,,,2016-03-07 12:09:00
217,B+,2020-11-12 06:20:00,2020-12-24 06:20:00,disposed,,,2020-12-24 06:20:00,2020-11-12 06:20:00
218,O+,2022-02-06 04:30:00,2022-03-20 04:30:00,available,,,,2022-02-06 02:30:00
219,AB+,2020-06-10 23:21:00,2020-07-22 23:21:00,available,,,,2020-06-10 22:21:00
220,O+,2022-08-03 21:48:00,2022-09-14 21:48:00,available,,,,2022-08-03 20:48:00
221,AB+,2025-10-27 23:22:00,2025-12-08 23:22:00,disposed,,,2025-12-07 23:22:00,2025-10-27 22:22:00
222,B-,2016-06-24 18:41:00,2016-08-05 18:41:00,handed_over,9973.0,2016-06-30 18:41:00,,2016-06-24 17:41:00
223,A+,2018-02-09 16:30:00,2018-03-23 16:30:00,available,,,,2018-02-09 14:30:00
224,B+,2016-05-17 16:21:00,2016-06-28 16:21:00,handed_over,4265.0,2016-05-25 16:21:00,,2016-05-17 16:21:00
225,A-,2022-07-25 16:20:00,2022-09-05 16:20:00,handed_over,4796.0,2022-08-02 16:20:00,,2022-07-25 14:20:00
226,A+,2021-03-06 20:22:00,2021-04-17 20:22:00,available,,,,2021-03-06 19:22:00
227,O-,2019-06-07 11:24:00,2019-07-19 11:24:00,handed_over,8510.0,2019-06-10 11:24:00,,2019-06-07 09:24:00
228,B+,2016-11-05 19:48:00,2016-12-17 19:48:00,available,,,,2016-11-05 17:48:00
229,O+,2025-12-11 09:06:00,2026-01-22 09:06:00,available,,,,2025-12-11 08:06:00
230,AB+,2020-04-13 15:28:00,2020-05-25 15:28:00,handed_over,7493.0,2020-04-19 15:28:00,,2020-04-13 15:28:00
231,O+,2022-05-05 02:01:00,2022-06-16 02:01:00,available,,,,2022-05-05 00:01:00
232,B+,2016-01-16 05:05:00,2016-02-27 05:05:00,disposed,,,2016-02-24 05:05:00,2016-01-16 04:05:00
233,B-,2018-03-23 06:04:00,2018-05-04 06:04:00,available,,,,2018-03-23 04:04:00
234,B+,2025-04-06 06:33:00,2025-05-18 06:33:00,handed_over,3470.0,2025-04-08 06:33:00,,2025-04-06 04:33:00
235,A+,2018-06-13 16:12:00,2018-07-25 16:12:00,available,,,,2018-06-13 14:12:00
